Ticker,Latest Price ($),Daily Return,Volatility,Predicted Prob Up (%),Accuracy (%),Precision (%),Recall (%),F1 Score (%),RSI_14,Top Features,Score,Rating,Model
ACA.PA,15.869999885559082,-0.004703656989688221,0.017681101475983046,79.9132945139915,58.14432989690721,38.74793305101835,28.54262720874211,30.66105108995918,38.749981746054694,"Volatility_30, Trend_MA50, Momentum_20",62.9,Above Average,catboost
CAP.PA,96.19999694824219,0.0,0.018694989711978766,79.29485845065886,56.082474226804116,25.974228503702648,22.2983682983683,23.0885969496226,18.157202639892816,"Volatility_30, Trend_MA50, Momentum_20",62.9,Above Average,catboost
DBK.DE,24.915000915527344,-0.013462611622947152,0.02272415203971039,78.65521047981684,55.051546391752574,43.29460304971713,27.809523809523807,30.58201694361179,37.56654691702696,"Volatility_30, RSI_14, Momentum_20",62.9,Above Average,catboost
JBHT,205.58999633789062,-0.0028615596025284296,0.021892324703372826,72.72713036632547,63.578947368421055,47.32080200501253,23.379790940766547,28.420466058763928,35.26929341887946,"Volatility_30, Trend_MA50, Momentum_20",62.9,Above Average,catboost
BKG.L,3430.0,-0.0052204176334106345,0.015697861775875514,77.8504690521716,58.75,25.993742582802888,23.242955135335556,22.843349886828147,19.45205479452055,"Volatility_30, Trend_MA50, Momentum_20",62.8,Above Average,catboost
NKE,51.369998931884766,-0.013443456252008268,0.017087919505477348,69.63990563431531,61.89473684210526,33.4959349593496,26.902122806853548,27.911500832216944,23.34711956982214,"Volatility_30, Trend_MA50, RSI_14",62.8,Above Average,catboost
SNPS,380.4700012207031,-0.053439508232343225,0.027923755351728943,65.95761634991808,52.63157894736842,40.852452425623156,35.7983502983503,37.86574278834341,25.33682054982016,"Trend_MA50, Volatility_30, Momentum_20",62.8,Above Average,catboost
SBUX,86.80999755859375,-0.048344700757452785,0.020125781279801937,57.164192493579634,63.368421052631575,49.70443349753695,24.44496789324375,29.56150176751555,25.675669870497856,"Volatility_30, Trend_MA50, Momentum_20",62.4,Above Average,catboost
LEG.DE,54.150001525878906,-0.013661201806095868,0.025470967692865713,74.22736517961775,67.42268041237114,26.428571428571427,15.72871572871573,15.881863336455968,28.0205683761413,"Volatility_30, Trend_MA50, Momentum_20",62.2,Above Average,catboost
ADYEN.AS,855.5,-0.02540440658815346,0.02315172645731726,61.22809194732447,56.70103092783505,48.75555555555555,25.31469669400704,27.642072763325217,29.018282644484884,"Volatility_30, Trend_MA50, Momentum_20",62.2,Above Average,catboost
KBC.BR,103.0999984741211,-0.008653860825758697,0.015780132304145048,73.29190437719186,58.96907216494846,43.619954095043376,27.03747148908439,33.078961736093575,37.735832081260284,"Volatility_30, Trend_MA50, Momentum_20",62.0,Above Average,catboost
UNH,259.0199890136719,-0.03368774180385825,0.01785956872941184,54.102590427956365,58.94736842105264,49.0521978021978,46.2310606060606,42.07164587556745,27.64575013487412,"Volatility_30, Return_5d, Trend_MA50",62.0,Above Average,catboost
MCD,305.8999938964844,-0.00980804341155972,0.010726452600957332,70.09581981117118,64.0,31.698717948717945,16.01069424964937,20.367785367785366,17.322847890322564,"Volatility_30, Trend_MA50, Return_5d",61.8,Above Average,catboost
SIKA.SW,128.5,-0.011158114523232454,0.021291617590139023,80.40714040922012,63.1578947368421,31.680779569892472,31.31592421915003,26.855143798559983,34.272286680096315,"Trend_MA50, Volatility_30, Momentum_20",61.7,Above Average,catboost
YUM,153.9600067138672,-0.01396178227425926,0.013085772483772108,76.6878250675129,63.999999999999986,38.49522957662492,20.402298850574716,24.02873434412141,38.85735069553695,"Volatility_30, Trend_MA50, RSI_14",61.7,Above Average,catboost
UPS,94.80000305175781,-0.0276922763922276,0.016838210493827856,73.48732103769203,64.0,37.33333333333333,33.855606758832565,34.39149910661996,30.792214590287514,"Volatility_30, Trend_MA50, RSI_14",61.7,Above Average,catboost
CMCSA,28.329999923706055,-0.013579366259493297,0.015093463618090249,64.1548643929627,64.21052631578947,35.60623781676413,26.683056050703108,28.34454518039745,19.55054282298815,"Volatility_30, Trend_MA50, Momentum_20",61.7,Above Average,catboost
IFX.DE,37.43000030517578,-0.03741797811912706,0.032507866870526425,80.61843270966912,55.4639175257732,51.55090000414748,31.072349208440375,36.1473559120618,44.272794252714625,"Volatility_30, RSI_14, Momentum_20",61.6,Above Average,catboost
WDAY,124.18000030517578,-0.02961632319586316,0.02870910063863116,63.471598449758474,55.36842105263158,37.260311504213945,45.27205135254671,39.14615355143865,19.64015411139337,"Volatility_30, Trend_MA50, Momentum_20",61.6,Above Average,catboost
LLY,878.239990234375,-0.02091416919244704,0.019345985490334096,57.178093642731184,55.78947368421052,46.019577930333085,37.28192015170772,40.506850042520604,15.416889395181798,"Volatility_30, Momentum_20, Trend_MA50",61.6,Above Average,catboost
ABNB,122.87000274658203,-0.06249042396288895,0.025680867773633893,83.9835373065888,58.73684210526316,32.30400782013685,16.973555211558306,20.238685114310023,34.551482104591685,"Volatility_30, Volume_MA_Ratio, Return_10d",61.5,Above Average,catboost
